331,4,2019-09-21 17:00:00 +0000 UTC,2019-09-21 17:48:00 +0000 UTC,{13.043767 77.616354},{13.012926 77.760999},true,24836.400000m,cab 39
177,4,2019-09-21 21:30:00 +0000 UTC,2019-09-21 22:44:00 +0000 UTC,{12.991484 77.697790},{12.983163 77.488034},true,27378.000000m,cab 12
198,4,2019-09-21 21:30:00 +0000 UTC,2019-09-21 22:42:00 +0000 UTC,{12.991484 77.697790},{13.064544 77.515947},true,27701.900000m,cab 11
211,4,2019-09-21 21:30:00 +0000 UTC,2019-09-21 22:41:00 +0000 UTC,{12.991484 77.697790},{13.092045 77.533897},true,27785.700000m,cab 8
234,4,2019-09-21 21:30:00 +0000 UTC,2019-09-21 22:31:00 +0000 UTC,{12.991484 77.697790},{12.962160 77.522753},true,24402.000000m,cab 5
258,4,2019-09-21 21:33:00 +0000 UTC,2019-09-21 22:00:00 +0000 UTC,{12.993184 77.554342},{13.046322 77.621619},true,13966.500000m,cab 7
188,4,2019-09-21 10:32:00 +0000 UTC,2019-09-21 12:00:00 +0000 UTC,{13.008669 77.540371},{12.991484 77.697790},true,22243.700000m,cab 11
200,4,2019-09-21 10:30:00 +0000 UTC,2019-09-21 11:30:00 +0000 UTC,{12.913140 77.488896},{13.051540 77.595405},true,24073.400000m,cab 12
286,4,2019-09-21 10:58:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.874406 77.619476},{12.991898 77.703648},true,22474.900000m,cab 2
292,4,2019-09-21 10:54:00 +0000 UTC,2019-09-21 13:00:00 +0000 UTC,{12.997860 77.564808},{12.991898 77.703648},true,18347.700000m,cab 1
276,4,2019-09-21 20:00:00 +0000 UTC,2019-09-21 20:32:00 +0000 UTC,{13.046322 77.621619},{13.091421 77.604799},true,9534.900000m,cab 21
326,4,2019-09-21 12:00:00 +0000 UTC,2019-09-21 15:00:00 +0000 UTC,{12.946964 77.680276},{13.051540 77.595405},true,23148.100000m,cab 42
330,4,2019-09-21 12:15:00 +0000 UTC,2019-09-21 15:00:00 +0000 UTC,{13.055537 77.609162},{13.051540 77.595405},true,2445.800000m,cab 12
12,4,2019-09-21 06:52:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{13.314480 77.562446},{13.043767 77.616354},true,36622.000000m,cab 36
75,4,2019-09-21 06:38:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.875877 77.617022},{13.043767 77.616354},true,23974.000000m,cab 10
111,4,2019-09-21 06:58:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{12.901750 77.517522},{13.043767 77.616354},true,25564.400000m,cab 2
126,4,2019-09-21 06:35:00 +0000 UTC,2019-09-21 08:00:00 +0000 UTC,{13.080840 77.447300},{13.043767 77.616354},true,25084.500000m,cab 28
220,4,2019-09-21 06:50:00 +0000 UTC,2019-09-21 08:30:00 +0000 UTC,{12.987154 77.504301},{12.982539 77.591772},true,12772.600000m,cab 8
254,4,2019-09-21 06:31:00 +0000 UTC,2019-09-21 08:16:00 +0000 UTC,{12.984188 77.443946},{12.921477 77.669084},true,34571.400000m,cab 30
